短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
89,11.0,14.6,1001,0.6819983600624985,0.7313537016191706,30.50094,9.048787879,16
89,11.0,14.7,1001,0.6946583704589973,0.7193398003386512,27.78144,8.616060606,17
90,11.0,14.9,1001,0.7071067811865476,0.7071067811865476,20.70377,7.643333333,18
90,11.0,15.0,1002,0.7193398003386511,0.6946583704589974,14.11324,6.417575758,19
90,11.0,15.1,1002,0.7313537016191705,0.6819983600624985,16.78282,6.991515152,20
91,10.7,15.3,1002,0.7431448254773941,0.6691306063588582,15.52155,6.636969697,21
91,10.0,15.5,1002,0.7313537016191705,0.6819983600624985,16.83879,6.758484848,22
91,9.3,15.7,1002,0.7193398003386511,0.6946583704589974,13.44953,6.426060606,23
90,8.3,16.0,1001,0.6819983600624985,0.7313537016191706,10.75761,5.495151515,0
90,7.7,16.3,1001,0.6293203910498374,0.7771459614569709,8.85989,5.245757576,1
90,7.4,16.4,1000,0.5877852522924731,0.8090169943749475,7.98972,5.242424242,2
90,7.6,16.5,1000,0.5877852522924731,0.8090169943749475,6.65755,4.773333333,3
91,8.0,16.6,1000,0.6293203910498374,0.7771459614569709,5.62201,4.649090909,4
91,8.4,16.6,1000,0.6946583704589973,0.7193398003386512,3.82024,3.956060606,5
91,8.6,16.7,1000,0.754709580222772,0.6560590289905073,5.12713,4.641515152,6
90,8.4,16.7,1000,0.8090169943749475,0.5877852522924731,4.01136,4.449393939,7
90,8.1,16.8,1000,0.8386705679454239,0.5446390350150272,9.70065,5.895454545,8
90,7.4,16.8,1000,0.8386705679454239,0.5446390350150272,12.1734,6.245151515,9
91,6.5,16.9,1000,0.8290375725550417,0.5591929034707468,17.27866,7.405757576,10
91,5.7,16.9,1000,0.8480480961564261,0.5299192642332049,21.43096,7.989393939,11
92,5.8,16.9,1000,0.7771459614569708,0.6293203910498375,26.39684,8.302424242,12
93,5.4,16.8,999,0.7986355100472928,0.6018150231520484,30.01942,8.49,13
93,4.8,16.8,999,0.8571673007021122,0.5150380749100543,32.3494,8.83030303,14
94,3.9,16.8,999,0.9205048534524404,0.3907311284892739,36.21528,9.999393939,15
94,2.8,16.8,999,0.9902680687415704,0.1391731009600657,34.86285,9.900909091,16
96,1.6,16.8,999,0.8910065241883679,-0.4539904997395467,35.20828,10.20454545,17
96,1.7,16.9,999,-0.2249510543438649,-0.9743700647852352,37.48736,10.43151515,18
96,2.9,17.0,1000,-0.7547095802227717,-0.6560590289905077,38.64815,11.96515152,19
95,4.1,17.1,1000,-0.9659258262890684,-0.2588190451025206,35.99394,10.15212121,20
92,5.2,17.1,1000,-0.984807753012208,0.1736481776669299,37.33247,10.06272727,21
88,6.5,17.1,1000,-0.8571673007021123,0.5150380749100542,37.66902,10.04393939,22
83,7.5,17.1,1000,-0.7431448254773946,0.6691306063588578,35.3845,10.33181818,23
79,7.3,17.2,1000,-0.6819983600624983,0.7313537016191707,35.94269,10.00848485,0
76,6.5,17.2,1000,-0.6560590289905074,0.7547095802227719,38.46059,10.84787879,1
76,5.9,16.8,1000,-0.6293203910498378,0.7771459614569706,37.06921,10.51181818,2
78,6.0,16.0,1000,-0.5877852522924734,0.8090169943749473,38.05535,11.02969697,3
82,6.6,14.9,1000,-0.5150380749100545,0.8571673007021121,39.13351,11.20969697,4
84,7.0,14.0,1001,-0.4226182617407,0.9063077870366496,39.70539,10.77575758,5
85,6.8,13.4,1002,-0.3420201433256686,0.9396926207859084,39.67734,10.87848485,6
85,6.6,13.1,1003,-0.2079116908177598,0.9781476007338056,38.42767,10.6630303,7
84,6.1,13.0,1004,-0.0871557427476583,0.9961946980917455,38.51325,10.18636364,8
81,5.9,13.0,1005,0.0,1.0,30.85804,9.022727273,9
79,5.8,13.0,1005,0.0697564737441253,0.9975640502598242,38.38854,11.0069697,10
78,6.1,12.8,1005,0.1391731009600654,0.9902680687415704,36.16593,9.978787879,11
78,7.1,12.5,1006,0.374606593415912,0.9271838545667874,35.45482,9.613939394,12
77,7.3,12.2,1006,0.3255681544571566,0.9455185755993168,37.45705,10.19060606,13
77,7.5,11.9,1006,0.3255681544571566,0.9455185755993168,36.23612,9.521212121,14
77,8.0,11.6,1006,0.374606593415912,0.9271838545667874,35.47136,9.70969697,15
78,8.5,11.3,1006,0.4383711467890774,0.898794046299167,33.45318,9.04969697,16
78,9.0,11.0,1006,0.4383711467890774,0.898794046299167,35.67613,10.06181818,17
78,9.2,10.7,1007,0.3907311284892737,0.9205048534524404,26.59495,8.356363636,18
79,9.2,10.4,1008,0.3255681544571566,0.9455185755993168,35.96181,9.669393939,19
80,9.1,10.1,1009,0.2756373558169991,0.9612616959383188,34.63613,10.32333333,20
80,9.2,9.9,1009,0.2756373558169991,0.9612616959383188,36.72011,9.868181818,21
80,9.1,9.8,1009,0.3255681544571566,0.9455185755993168,38.1217,10.29030303,22
78,9.1,9.8,1009,0.3907311284892737,0.9205048534524404,34.18851,9.650909091,23
75,9.1,9.9,1008,0.4383711467890774,0.898794046299167,31.79398,8.544242424,0
72,9.0,10.1,1007,0.4694715627858908,0.882947592858927,22.23373,6.745757576,1
70,8.8,10.3,1007,0.484809620246337,0.8746197071393957,33.97635,8.981515152,2
70,8.3,10.3,1007,0.4999999999999999,0.8660254037844387,15.66464,5.895151515,3
70,7.7,10.3,1007,0.4999999999999999,0.8660254037844387,16.81159,5.989393939,4
70,7.1,10.3,1008,0.4694715627858908,0.882947592858927,11.88771,5.122121212,5
69,6.9,10.3,1008,0.4067366430758001,0.9135454576426008,13.78154,5.30969697,6
69,7.0,10.5,1009,0.3583679495453002,0.9335804264972016,12.05034,5.202424242,7
70,7.2,10.7,1009,0.3583679495453002,0.9335804264972016,17.63272,6.163939394,8
70,7.5,10.9,1009,0.3907311284892737,0.9205048534524404,4.70682,3.756060606,9
70,7.9,11.1,1010,0.4539904997395467,0.8910065241883679,1.9786,3.228181818,10
70,8.1,11.3,1010,0.484809620246337,0.8746197071393957,6.99863,4.306666667,11
66,7.8,11.0,1010,0.4999999999999999,0.8660254037844387,8.76249,4.667272727,12
65,8.3,11.4,1010,0.5299192642332049,0.848048096156426,4.95894,3.936363636,13
65,8.7,11.6,1010,0.5446390350150271,0.838670567945424,6.21036,4.227878788,14
