短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
76,12.3,14.2,1025,0.484809620246337,0.8746197071393957,36.13,11.85,0
76,12.2,14.7,1024,0.4999999999999999,0.8660254037844387,35.36,11.46,1
76,12.2,14.8,1024,0.5150380749100542,0.8571673007021123,36.8,11.43,2
77,12.4,14.7,1024,0.5299192642332049,0.848048096156426,33.02,10.27,3
78,12.5,14.3,1025,0.5150380749100542,0.8571673007021123,34.37,9.7,4
79,12.6,14.0,1025,0.4999999999999999,0.8660254037844387,31.74,9.77,5
80,12.5,13.8,1025,0.4539904997395467,0.8910065241883679,35.4,10.8,6
82,12.3,13.8,1025,0.4067366430758001,0.9135454576426008,31.7,10.22,7
83,12.2,13.7,1025,0.374606593415912,0.9271838545667874,35.35,10.88,8
84,12.2,13.6,1025,0.374606593415912,0.9271838545667874,38.13,12.46,9
86,12.1,13.5,1025,0.374606593415912,0.9271838545667874,34.75,10.68,10
87,12.1,13.4,1025,0.3907311284892737,0.9205048534524404,41.52,13.34,11
86,12.0,13.4,1025,0.3907311284892737,0.9205048534524404,41.72,12.67,12
82,11.1,14.2,1024,0.3583679495453002,0.9335804264972016,40.43,12.11,13
82,11.0,14.3,1024,0.3583679495453002,0.9335804264972016,40.13,12.33,14
82,10.9,14.4,1024,0.374606593415912,0.9271838545667874,40.23,13.15,15
82,10.6,14.5,1023,0.374606593415912,0.9271838545667874,41.79,12.74,16
82,10.3,14.6,1023,0.374606593415912,0.9271838545667874,44.62,12.93,17
82,10.0,14.8,1023,0.3907311284892737,0.9205048534524404,42.12,11.6,18
82,9.6,15.1,1024,0.3907311284892737,0.9205048534524404,30.58,9.84,19
80,9.2,15.5,1024,0.4067366430758001,0.9135454576426008,38.17,11.3,20
79,8.6,16.2,1024,0.4067366430758001,0.9135454576426008,41.07,12.1,21
78,8.1,17.0,1024,0.3907311284892737,0.9205048534524404,40.56,11.98,22
77,7.4,17.8,1024,0.3907311284892737,0.9205048534524404,35.05,10.36,23
77,6.8,18.5,1023,0.4067366430758001,0.9135454576426008,39.62,11.22,0
78,6.2,18.9,1022,0.4539904997395467,0.8910065241883679,41.98,12.78,1
80,5.7,19.0,1021,0.5591929034707469,0.8290375725550417,37.89,10.87,2
81,5.6,18.9,1021,0.754709580222772,0.6560590289905073,33.71,10.28,3
83,5.9,18.7,1021,0.8660254037844386,0.5000000000000001,36.2,11.27,4
85,6.4,18.2,1021,0.9271838545667874,0.3746065934159119,39.41,12.89,5
86,6.5,17.6,1021,0.9205048534524404,0.3907311284892739,31.64,10.1,6
88,6.5,17.1,1021,0.8746197071393957,0.4848096202463371,36.47,11.63,7
89,6.2,16.6,1021,0.8386705679454239,0.5446390350150272,34.85,10.66,8
90,5.8,16.3,1021,0.8090169943749475,0.5877852522924731,37.44,11.05,9
90,5.3,16.2,1021,0.7986355100472928,0.6018150231520484,31.86,10.13,10
90,4.8,16.2,1021,0.7771459614569708,0.6293203910498375,37.6,11.3,11
90,4.4,16.1,1021,0.7313537016191705,0.6819983600624985,30.23,9.53,12
93,5.0,15.7,1021,0.754709580222772,0.6560590289905073,34.21,11.27,13
93,5.2,15.6,1021,0.7313537016191705,0.6819983600624985,28.72,10.0,14
93,5.5,15.5,1021,0.7071067811865476,0.7071067811865476,27.41,10.57,15
93,6.0,15.5,1020,0.6819983600624985,0.7313537016191706,28.85,9.75,16
93,6.4,15.4,1020,0.6819983600624985,0.7313537016191706,30.79,9.55,17
93,6.8,15.3,1020,0.7071067811865476,0.7071067811865476,27.54,8.91,18
93,7.1,15.3,1020,0.7313537016191705,0.6819983600624985,34.65,10.39,19
93,7.6,15.5,1021,0.7313537016191705,0.6819983600624985,30.81,9.85,20
91,8.0,15.7,1022,0.6946583704589973,0.7193398003386512,27.12,9.31,21
90,8.4,15.9,1022,0.6691306063588582,0.7431448254773942,29.05,9.96,22
88,8.4,16.1,1022,0.6560590289905072,0.754709580222772,28.07,9.3,23
87,8.4,16.1,1021,0.6427876096865393,0.766044443118978,23.0,8.42,0
87,8.1,16.0,1021,0.6560590289905072,0.754709580222772,26.03,9.33,1
87,7.9,15.8,1020,0.6691306063588582,0.7431448254773942,26.39,9.4,2
87,8.0,15.6,1020,0.6691306063588582,0.7431448254773942,27.06,9.31,3
87,8.2,15.3,1020,0.6691306063588582,0.7431448254773942,19.35,8.46,4
87,8.5,15.1,1020,0.6691306063588582,0.7431448254773942,31.64,9.86,5
88,8.8,14.8,1021,0.6560590289905072,0.754709580222772,19.1,8.03,6
88,9.0,14.6,1021,0.6427876096865393,0.766044443118978,18.32,7.8,7
87,9.1,14.4,1022,0.6156614753256582,0.788010753606722,20.91,7.99,8
