短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
91,3.8,22.1,1002,-0.7986355100472928,-0.6018150231520483,-0.077339316,2.78103303,0
91,4.0,22.2,1001,-0.743144825477394,-0.6691306063588585,1.494187593,3.577655152,1
91,4.3,22.3,1000,-0.6946583704589973,-0.7193398003386511,0.585456082,2.656520909,2
90,4.5,22.3,999,-0.6560590289905074,-0.7547095802227719,0.307981002,2.848453333,3
90,4.7,22.3,998,-0.587785252292473,-0.8090169943749475,1.398868568,3.543398182,4
89,4.7,22.3,998,-0.4694715627858908,-0.8829475928589269,2.957147284,4.004069394,5
90,4.6,22.2,998,-0.2588190451025203,-0.9659258262890684,1.891313587,3.382112424,6
90,4.7,22.2,999,1.2246467991473532e-16,-1.0,1.184096539,3.332706061,7
90,5.1,22.1,1000,0.1564344650402309,-0.9876883405951375,0.001577499,2.770886667,8
90,5.3,22.1,1000,0.2079116908177593,-0.9781476007338056,0.121480437,3.006089697,9
90,5.4,22.0,1000,0.1736481776669302,-0.984807753012208,-0.114382177,2.347341515,10
91,4.7,21.9,1000,0.0871557427476586,-0.9961946980917455,-0.107143101,2.554039697,11
93,0.9,22.2,1000,-0.587785252292473,-0.8090169943749475,0.02421721,3.166168788,12
94,0.4,21.8,1000,-0.7071067811865475,-0.7071067811865477,0.338603131,3.297239879,13
95,0.2,21.5,1000,1.2246467991473532e-16,-1.0,0.723395862,3.380115455,14
95,0.5,21.3,1000,0.6018150231520482,-0.7986355100472929,0.294124516,2.97139303,15
94,0.7,21.2,999,0.7071067811865476,-0.7071067811865475,0.19134864,2.879674242,16
92,0.7,21.3,999,0.9902680687415704,-0.1391731009600653,0.806110684,3.588725758,17
91,1.1,21.5,999,0.8290375725550417,0.5591929034707468,0.655211345,3.671951515,18
90,1.9,21.6,999,0.6293203910498374,0.7771459614569709,0.5418526,3.172257273,19
90,2.5,21.7,1000,0.6819983600624985,0.7313537016191706,0.137074809,2.925819848,20
92,2.8,21.7,1001,0.898794046299167,0.4383711467890774,0.779018639,3.456184545,21
93,3.1,21.7,1001,1.0,6.123233995736766e-17,1.460119358,3.616969394,22
93,3.5,21.9,1001,0.913545457642601,-0.4067366430758001,0.42135722,3.117028485,23
93,3.8,22.1,1001,0.6819983600624985,-0.7313537016191705,0.131545895,2.647848788,0
93,4.2,22.3,1000,0.3746065934159122,-0.9271838545667872,-0.010901415,2.433740909,1
93,4.4,22.4,999,0.1045284632676537,-0.9945218953682732,-0.06452482,2.172901303,2
94,4.4,22.5,998,1.2246467991473532e-16,-1.0,-0.107991745,1.592099152,3
94,3.9,22.5,998,-0.0523359562429435,-0.9986295347545738,-0.026822218,2.81893697,4
94,3.3,22.4,998,1.2246467991473532e-16,-1.0,-0.090008225,2.622148182,5
95,2.8,22.3,998,0.2249510543438647,-0.9743700647852352,0.064879688,2.603080303,6
95,2.5,22.2,999,0.5299192642332049,-0.848048096156426,-0.048843263,2.141483939,7
95,2.2,22.2,999,0.6819983600624985,-0.7313537016191705,-0.097072797,1.441936455,8
94,1.6,22.3,999,0.6819983600624985,-0.7313537016191705,-0.122155485,2.206905758,9
93,1.2,22.5,1000,0.3420201433256689,-0.9396926207859084,0.334724877,3.303182727,10
93,1.3,22.5,1000,-0.2249510543438649,-0.9743700647852352,1.965182711,3.749992424,11
96,1.1,21.7,1000,0.5591929034707469,-0.8290375725550416,2.957170076,4.583960909,12
96,0.6,21.7,999,1.2246467991473532e-16,-1.0,2.300443472,4.010648485,13
95,0.8,21.7,999,-1.0,-1.8369701987210294e-16,2.088886745,3.733738788,14
95,1.7,21.8,999,-0.933580426497202,0.3583679495452995,2.06132682,3.9538,15
93,2.4,21.9,999,-0.8191520442889918,0.573576436351046,2.112431006,3.717731212,16
93,3.0,22.0,999,-0.7193398003386517,0.6946583704589966,2.804304721,4.178014848,17
94,2.9,22.0,999,-0.5735764363510465,0.8191520442889916,4.019554882,4.576432424,18
95,2.7,21.9,1000,-0.3420201433256686,0.9396926207859084,4.36747081,4.904003939,19
95,2.1,21.9,1000,0.0,1.0,3.955981136,4.751583333,20
95,1.6,22.0,1000,0.4539904997395467,0.8910065241883679,2.381667301,3.882057576,21
95,1.1,22.1,1001,0.8910065241883678,0.4539904997395468,2.818714706,4.115853939,22
93,0.6,22.4,1001,0.9876883405951375,-0.156434465040231,0.541277078,2.935730606,23
92,0.7,22.7,1001,-0.8910065241883678,-0.4539904997395469,0.469200118,3.001308788,0
90,2.1,22.9,1000,-1.0,-1.8369701987210294e-16,1.020188983,3.258707576,1
89,3.4,23.0,1000,-0.9781476007338058,0.2079116908177585,0.17163622,2.785807273,2
88,4.0,23.0,1000,-0.8660254037844386,0.5000000000000001,-0.023546403,2.840480909,3
88,4.4,22.8,1000,-0.5000000000000004,0.8660254037844384,0.343123879,2.955143333,4
87,5.9,22.1,1000,0.1564344650402308,0.9876883405951378,0.362252522,3.031468788,5
86,9.7,21.0,1001,0.5877852522924731,0.8090169943749475,0.166545165,2.739651515,6
85,13.9,19.8,1002,0.7193398003386511,0.6946583704589974,-0.090348949,2.68471303,7
84,16.0,18.7,1004,0.7431448254773941,0.6691306063588582,-0.09567595,2.511937576,8
83,14.7,18.1,1005,0.6819983600624985,0.7313537016191706,0.034366285,2.976596364,9
80,12.3,17.7,1006,0.4999999999999999,0.8660254037844387,1.762939591,3.525759697,10
77,10.9,17.4,1007,0.2756373558169991,0.9612616959383188,2.831963506,4.069133636,11
63,12.2,18.4,1008,0.4999999999999999,0.8660254037844387,4.74591498,4.627117879,12
58,11.8,18.2,1008,0.374606593415912,0.9271838545667874,4.722680217,4.837054242,13
54,11.3,18.1,1007,0.3255681544571566,0.9455185755993168,3.962729326,4.434434848,14
52,10.5,18.1,1007,0.3420201433256687,0.9396926207859084,4.409836869,4.45188303,15
51,9.6,18.2,1007,0.4226182617406994,0.90630778703665,4.833817633,4.791316667,16
51,8.9,18.3,1007,0.4694715627858908,0.882947592858927,8.154085592,5.438259091,17
51,8.6,18.4,1008,0.4694715627858908,0.882947592858927,7.275563402,5.426774242,18
51,8.8,18.4,1009,0.4383711467890774,0.898794046299167,6.154910901,5.078131515,19
51,9.2,18.5,1010,0.4067366430758001,0.9135454576426008,6.308079896,5.36183697,20
50,9.5,18.7,1010,0.4067366430758001,0.9135454576426008,4.236743769,4.677684545,21
48,9.9,18.9,1010,0.4539904997395467,0.8910065241883679,2.516953973,3.990491818,22
