RT_Demand,DayOfWeek,HourOfDay
1493.66,2.0,18.0
1491.08,2.0,19.0
1431.73,2.0,20.0
1368.1,2.0,21.0
1273.14,2.0,22.0
1164.49,2.0,23.0
1068.85,3.0,0.0
1036.83,3.0,1.0
1015.79,3.0,2.0
992.88,3.0,3.0
1000.71,3.0,4.0
1042.72,3.0,5.0
1143.43,3.0,6.0
1289.37,3.0,7.0
1390.95,3.0,8.0
1420.27,3.0,9.0
1415.36,3.0,10.0
1422.1,3.0,11.0
1432.22,3.0,12.0
1430.79,3.0,13.0
1414.68,3.0,14.0
1407.66,3.0,15.0
1422.83,3.0,16.0
1453.26,3.0,17.0
1500.74,3.0,18.0
1490.32,3.0,19.0
1435.78,3.0,20.0
1366.25,3.0,21.0
1278.05,3.0,22.0
1186.57,3.0,23.0
1114.47,4.0,0.0
1071.97,4.0,1.0
1060.03,4.0,2.0
1047.45,4.0,3.0
1065.44,4.0,4.0
1098.17,4.0,5.0
1181.29,4.0,6.0
1325.12,4.0,7.0
1445.77,4.0,8.0
1510.5,4.0,9.0
1532.42,4.0,10.0
1535.62,4.0,11.0
1535.7,4.0,12.0
1513.02,4.0,13.0
1502.28,4.0,14.0
1471.24,4.0,15.0
1450.1,4.0,16.0
1457.14,4.0,17.0
1507.4,4.0,18.0
1511.69,4.0,19.0
1462.39,4.0,20.0
1407.22,4.0,21.0
1336.27,4.0,22.0
1247.72,4.0,23.0
1168.22,5.0,0.0
1139.83,5.0,1.0
1110.69,5.0,2.0
1091.61,5.0,3.0
1110.1,5.0,4.0
1132.12,5.0,5.0
1186.55,5.0,6.0
1248.74,5.0,7.0
1332.13,5.0,8.0
1407.99,5.0,9.0
1411.45,5.0,10.0
1388.89,5.0,11.0
1344.18,5.0,12.0
1300.47,5.0,13.0
1257.95,5.0,14.0
1242.66,5.0,15.0
1262.21,5.0,16.0
1299.29,5.0,17.0
1359.76,5.0,18.0
1402.48,5.0,19.0
1377.32,5.0,20.0
1327.73,5.0,21.0
1271.75,5.0,22.0
1203.4,5.0,23.0
1160.7,6.0,0.0
1119.26,6.0,1.0
1083.1,6.0,2.0
1060.41,6.0,3.0
1053.24,6.0,4.0
1067.11,6.0,5.0
1108.05,6.0,6.0
1173.3,6.0,7.0
1258.27,6.0,8.0
1349.4,6.0,9.0
1390.78,6.0,10.0
1391.41,6.0,11.0
1387.43,6.0,12.0
1382.18,6.0,13.0
1364.68,6.0,14.0
1364.96,6.0,15.0
1397.41,6.0,16.0
1486.15,6.0,17.0
1495.37,6.0,18.0
1421.82,6.0,19.0
1342.25,6.0,20.0
1247.69,6.0,21.0
1149.0,6.0,22.0
1064.33,6.0,23.0
1014.49,0.0,0.0
992.19,0.0,1.0
986.28,0.0,2.0
987.75,0.0,3.0
997.44,0.0,4.0
1051.17,0.0,5.0
1156.36,0.0,6.0
1313.69,0.0,7.0
1401.66,0.0,8.0
1444.54,0.0,9.0
1462.83,0.0,10.0
1476.52,0.0,11.0
1481.83,0.0,12.0
1487.72,0.0,13.0
1464.72,0.0,14.0
1464.14,0.0,15.0
1486.11,0.0,16.0
1563.1,0.0,17.0
1633.83,0.0,18.0
1577.94,0.0,19.0
1505.5,0.0,20.0
1423.91,0.0,21.0
1335.74,0.0,22.0
1239.42,0.0,23.0
1190.27,1.0,0.0
1154.66,1.0,1.0
1117.16,1.0,2.0
1100.69,1.0,3.0
1098.47,1.0,4.0
1148.28,1.0,5.0
1254.49,1.0,6.0
1388.73,1.0,7.0
1463.03,1.0,8.0
1488.46,1.0,9.0
1491.0,1.0,10.0
1494.06,1.0,11.0
1477.04,1.0,12.0
1475.22,1.0,13.0
1472.68,1.0,14.0
1485.98,1.0,15.0
1494.81,1.0,16.0
1575.9,1.0,17.0
1623.82,1.0,18.0
1583.42,1.0,19.0
1515.3,1.0,20.0
1443.95,1.0,21.0
1359.9,1.0,22.0
1260.93,1.0,23.0
1199.92,2.0,0.0
1166.98,2.0,1.0
1142.41,2.0,2.0
1121.31,2.0,3.0
1099.06,2.0,4.0
1140.91,2.0,5.0
1233.32,2.0,6.0
1377.83,2.0,7.0
1457.05,2.0,8.0
1491.78,2.0,9.0
1488.9,2.0,10.0
1481.66,2.0,11.0
1473.23,2.0,12.0
1453.75,2.0,13.0
1424.7,2.0,14.0
1411.99,2.0,15.0
1436.79,2.0,16.0
1509.01,2.0,17.0
1589.18,2.0,18.0
1542.34,2.0,19.0
1469.03,2.0,20.0
1393.38,2.0,21.0
1282.57,2.0,22.0
1184.78,2.0,23.0
1118.97,3.0,0.0
1083.21,3.0,1.0
1053.52,3.0,2.0
1043.39,3.0,3.0
1045.61,3.0,4.0
1091.25,3.0,5.0
1183.09,3.0,6.0
1323.29,3.0,7.0
