RT_Demand,DayOfWeek,HourOfDay
1069.0,5.0,9.0
1119.4,5.0,10.0
1157.91,5.0,11.0
1178.31,5.0,12.0
1184.25,5.0,13.0
1170.84,5.0,14.0
1150.8,5.0,15.0
1149.98,5.0,16.0
1175.99,5.0,17.0
1214.33,5.0,18.0
1239.48,5.0,19.0
1248.16,5.0,20.0
1212.91,5.0,21.0
1144.1,5.0,22.0
1064.22,5.0,23.0
1010.03,6.0,0.0
961.33,6.0,1.0
927.75,6.0,2.0
924.95,6.0,3.0
918.96,6.0,4.0
945.41,6.0,5.0
981.29,6.0,6.0
1020.55,6.0,7.0
1077.71,6.0,8.0
1124.98,6.0,9.0
1152.32,6.0,10.0
1157.43,6.0,11.0
1174.69,6.0,12.0
1176.07,6.0,13.0
1151.39,6.0,14.0
1138.9,6.0,15.0
1137.72,6.0,16.0
1178.4,6.0,17.0
1220.47,6.0,18.0
1223.65,6.0,19.0
1220.52,6.0,20.0
1185.52,6.0,21.0
1105.08,6.0,22.0
1021.28,6.0,23.0
955.68,0.0,0.0
913.76,0.0,1.0
894.84,0.0,2.0
880.39,0.0,3.0
883.22,0.0,4.0
916.76,0.0,5.0
993.87,0.0,6.0
1110.41,0.0,7.0
1214.61,0.0,8.0
1300.49,0.0,9.0
1357.99,0.0,10.0
1403.46,0.0,11.0
1419.81,0.0,12.0
1424.35,0.0,13.0
1397.68,0.0,14.0
1365.18,0.0,15.0
1358.62,0.0,16.0
1380.15,0.0,17.0
1389.05,0.0,18.0
1331.79,0.0,19.0
1274.19,0.0,20.0
1206.94,0.0,21.0
1120.07,0.0,22.0
1021.07,0.0,23.0
956.05,1.0,0.0
898.36,1.0,1.0
886.79,1.0,2.0
875.54,1.0,3.0
879.47,1.0,4.0
917.01,1.0,5.0
1009.72,1.0,6.0
1105.72,1.0,7.0
1200.15,1.0,8.0
1222.8,1.0,9.0
1225.4,1.0,10.0
1230.09,1.0,11.0
1232.27,1.0,12.0
1217.04,1.0,13.0
1210.16,1.0,14.0
1187.51,1.0,15.0
1167.41,1.0,16.0
1202.05,1.0,17.0
1253.08,1.0,18.0
1262.21,1.0,19.0
1272.3,1.0,20.0
1242.85,1.0,21.0
1156.06,1.0,22.0
1058.44,1.0,23.0
996.53,2.0,0.0
951.6,2.0,1.0
927.07,2.0,2.0
911.87,2.0,3.0
918.32,2.0,4.0
959.13,2.0,5.0
1045.34,2.0,6.0
1143.1,2.0,7.0
1234.92,2.0,8.0
1293.43,2.0,9.0
1274.11,2.0,10.0
1274.23,2.0,11.0
1277.83,2.0,12.0
1272.3,2.0,13.0
1255.24,2.0,14.0
1222.51,2.0,15.0
1211.76,2.0,16.0
1244.0,2.0,17.0
1296.76,2.0,18.0
1298.34,2.0,19.0
1296.36,2.0,20.0
1265.13,2.0,21.0
1174.19,2.0,22.0
1084.73,2.0,23.0
1017.15,3.0,0.0
975.28,3.0,1.0
958.61,3.0,2.0
942.65,3.0,3.0
949.77,3.0,4.0
989.48,3.0,5.0
1103.56,3.0,6.0
1194.78,3.0,7.0
1278.21,3.0,8.0
1303.28,3.0,9.0
1324.37,3.0,10.0
1309.36,3.0,11.0
1310.54,3.0,12.0
1282.63,3.0,13.0
1256.84,3.0,14.0
1236.6,3.0,15.0
1228.86,3.0,16.0
1254.07,3.0,17.0
1294.07,3.0,18.0
1299.22,3.0,19.0
1313.46,3.0,20.0
1292.8,3.0,21.0
1213.63,3.0,22.0
1115.23,3.0,23.0
1047.26,4.0,0.0
1005.51,4.0,1.0
983.88,4.0,2.0
971.9,4.0,3.0
974.49,4.0,4.0
1012.78,4.0,5.0
1094.87,4.0,6.0
1187.62,4.0,7.0
1256.24,4.0,8.0
1271.57,4.0,9.0
1288.09,4.0,10.0
1292.7,4.0,11.0
1295.59,4.0,12.0
1277.39,4.0,13.0
1263.61,4.0,14.0
1229.1,4.0,15.0
1199.42,4.0,16.0
1223.11,4.0,17.0
1267.9,4.0,18.0
1265.92,4.0,19.0
1262.19,4.0,20.0
1240.02,4.0,21.0
1156.75,4.0,22.0
1079.84,4.0,23.0
1019.4,5.0,0.0
964.84,5.0,1.0
947.24,5.0,2.0
941.9,5.0,3.0
941.85,5.0,4.0
962.62,5.0,5.0
995.17,5.0,6.0
1053.48,5.0,7.0
1129.39,5.0,8.0
1184.01,5.0,9.0
1214.23,5.0,10.0
1235.84,5.0,11.0
1247.64,5.0,12.0
1239.95,5.0,13.0
1217.39,5.0,14.0
1195.37,5.0,15.0
1180.14,5.0,16.0
1212.79,5.0,17.0
1244.66,5.0,18.0
1230.45,5.0,19.0
1229.18,5.0,20.0
1211.21,5.0,21.0
1154.39,5.0,22.0
1067.64,5.0,23.0
1006.18,6.0,0.0
965.1,6.0,1.0
958.05,6.0,2.0
953.43,6.0,3.0
965.43,6.0,4.0
992.02,6.0,5.0
1021.49,6.0,6.0
1059.2,6.0,7.0
1105.65,6.0,8.0
1141.32,6.0,9.0
1173.3,6.0,10.0
1159.18,6.0,11.0
1146.91,6.0,12.0
1115.79,6.0,13.0
