RT_Demand,DayOfWeek,HourOfDay
1147.85,1.0,2.0
1132.85,1.0,3.0
1136.21,1.0,4.0
1167.19,1.0,5.0
1277.19,1.0,6.0
1446.34,1.0,7.0
1527.68,1.0,8.0
1524.11,1.0,9.0
1506.52,1.0,10.0
1497.1,1.0,11.0
1487.54,1.0,12.0
1459.66,1.0,13.0
1454.12,1.0,14.0
1459.93,1.0,15.0
1478.26,1.0,16.0
1567.97,1.0,17.0
1650.77,1.0,18.0
1641.35,1.0,19.0
1590.86,1.0,20.0
1513.31,1.0,21.0
1405.35,1.0,22.0
1278.01,1.0,23.0
1179.49,2.0,0.0
1120.55,2.0,1.0
1092.51,2.0,2.0
1079.85,2.0,3.0
1088.72,2.0,4.0
1131.57,2.0,5.0
1241.51,2.0,6.0
1413.85,2.0,7.0
1499.67,2.0,8.0
1502.27,2.0,9.0
1488.54,2.0,10.0
1485.85,2.0,11.0
1460.18,2.0,12.0
1435.6,2.0,13.0
1440.05,2.0,14.0
1448.43,2.0,15.0
1480.08,2.0,16.0
1566.7,2.0,17.0
1658.85,2.0,18.0
1654.08,2.0,19.0
1616.33,2.0,20.0
1554.08,2.0,21.0
1461.53,2.0,22.0
1342.67,2.0,23.0
1251.36,3.0,0.0
1201.99,3.0,1.0
1179.26,3.0,2.0
1176.41,3.0,3.0
1189.98,3.0,4.0
1239.6,3.0,5.0
1357.68,3.0,6.0
1537.53,3.0,7.0
1624.23,3.0,8.0
1629.74,3.0,9.0
1615.77,3.0,10.0
1604.28,3.0,11.0
1583.61,3.0,12.0
1556.3,3.0,13.0
1544.13,3.0,14.0
1540.65,3.0,15.0
1566.31,3.0,16.0
1651.77,3.0,17.0
1748.03,3.0,18.0
1740.22,3.0,19.0
1695.06,3.0,20.0
1617.86,3.0,21.0
1512.05,3.0,22.0
1386.65,3.0,23.0
1288.12,4.0,0.0
1228.11,4.0,1.0
1195.1,4.0,2.0
1181.06,4.0,3.0
1180.27,4.0,4.0
1217.76,4.0,5.0
1318.04,4.0,6.0
1478.27,4.0,7.0
1559.7,4.0,8.0
1563.58,4.0,9.0
1548.65,4.0,10.0
1530.59,4.0,11.0
1499.79,4.0,12.0
1481.83,4.0,13.0
1480.97,4.0,14.0
1455.43,4.0,15.0
1443.12,4.0,16.0
1496.87,4.0,17.0
1553.99,4.0,18.0
1524.57,4.0,19.0
1466.72,4.0,20.0
1402.61,4.0,21.0
1314.41,4.0,22.0
1207.65,4.0,23.0
1113.07,5.0,0.0
1046.22,5.0,1.0
1003.4,5.0,2.0
980.09,5.0,3.0
973.15,5.0,4.0
987.4,5.0,5.0
1033.02,5.0,6.0
1102.71,5.0,7.0
1184.04,5.0,8.0
1257.62,5.0,9.0
1303.35,5.0,10.0
1296.6,5.0,11.0
1266.32,5.0,12.0
1245.12,5.0,13.0
1228.77,5.0,14.0
1223.56,5.0,15.0
1241.02,5.0,16.0
1316.66,5.0,17.0
1384.67,5.0,18.0
1353.21,5.0,19.0
1298.46,5.0,20.0
1238.37,5.0,21.0
1162.15,5.0,22.0
