RT_Demand,DayOfWeek,HourOfDay
976.51,3.0,0.0
925.18,3.0,1.0
895.02,3.0,2.0
885.22,3.0,3.0
889.43,3.0,4.0
918.59,3.0,5.0
998.28,3.0,6.0
1104.09,3.0,7.0
1205.91,3.0,8.0
1279.39,3.0,9.0
1309.34,3.0,10.0
1344.58,3.0,11.0
1391.27,3.0,12.0
1413.24,3.0,13.0
1406.98,3.0,14.0
1392.27,3.0,15.0
1373.29,3.0,16.0
1375.07,3.0,17.0
1411.13,3.0,18.0
1389.53,3.0,19.0
1354.51,3.0,20.0
1295.02,3.0,21.0
1202.24,3.0,22.0
1106.38,3.0,23.0
1020.86,4.0,0.0
967.54,4.0,1.0
938.06,4.0,2.0
925.23,4.0,3.0
927.35,4.0,4.0
954.52,4.0,5.0
1023.03,4.0,6.0
1116.18,4.0,7.0
1196.59,4.0,8.0
1240.54,4.0,9.0
1254.48,4.0,10.0
1268.98,4.0,11.0
1278.39,4.0,12.0
1278.21,4.0,13.0
1266.21,4.0,14.0
1249.58,4.0,15.0
1241.41,4.0,16.0
1258.16,4.0,17.0
1304.81,4.0,18.0
1309.45,4.0,19.0
1297.37,4.0,20.0
1253.6,4.0,21.0
1173.51,4.0,22.0
1084.51,4.0,23.0
1006.54,5.0,0.0
952.06,5.0,1.0
921.06,5.0,2.0
905.29,5.0,3.0
898.58,5.0,4.0
908.19,5.0,5.0
943.49,5.0,6.0
993.63,5.0,7.0
1048.68,5.0,8.0
1108.8,5.0,9.0
1143.91,5.0,10.0
1158.52,5.0,11.0
1159.62,5.0,12.0
1145.13,5.0,13.0
1119.37,5.0,14.0
1089.95,5.0,15.0
1077.16,5.0,16.0
1111.74,5.0,17.0
1175.41,5.0,18.0
1208.14,5.0,19.0
1224.15,5.0,20.0
1204.49,5.0,21.0
1131.2,5.0,22.0
1055.53,5.0,23.0
984.92,6.0,0.0
927.87,6.0,1.0
898.53,6.0,2.0
884.13,6.0,3.0
883.84,6.0,4.0
894.84,6.0,5.0
924.6,6.0,6.0
963.52,6.0,7.0
1015.01,6.0,8.0
1063.71,6.0,9.0
1093.88,6.0,10.0
1094.73,6.0,11.0
1091.4,6.0,12.0
1087.53,6.0,13.0
1072.26,6.0,14.0
1069.51,6.0,15.0
1096.69,6.0,16.0
1130.67,6.0,17.0
1155.82,6.0,18.0
1140.38,6.0,19.0
1145.74,6.0,20.0
1124.47,6.0,21.0
1050.96,6.0,22.0
974.38,6.0,23.0
905.81,0.0,0.0
861.03,0.0,1.0
834.67,0.0,2.0
823.56,0.0,3.0
825.9,0.0,4.0
854.88,0.0,5.0
933.1,0.0,6.0
1044.3,0.0,7.0
1158.57,0.0,8.0
1247.49,0.0,9.0
1303.73,0.0,10.0
1348.92,0.0,11.0
1375.04,0.0,12.0
1384.17,0.0,13.0
1363.45,0.0,14.0
1328.11,0.0,15.0
1311.38,0.0,16.0
1322.13,0.0,17.0
1356.93,0.0,18.0
1325.49,0.0,19.0
1289.39,0.0,20.0
1222.64,0.0,21.0
1131.12,0.0,22.0
1039.66,0.0,23.0
956.95,1.0,0.0
901.58,1.0,1.0
873.77,1.0,2.0
861.36,1.0,3.0
864.97,1.0,4.0
897.42,1.0,5.0
976.13,1.0,6.0
1077.7,1.0,7.0
1166.95,1.0,8.0
1212.86,1.0,9.0
1218.74,1.0,10.0
1218.25,1.0,11.0
1205.6,1.0,12.0
1197.47,1.0,13.0
1171.69,1.0,14.0
1143.88,1.0,15.0
1142.3,1.0,16.0
1175.18,1.0,17.0
1218.13,1.0,18.0
1233.71,1.0,19.0
1253.34,1.0,20.0
1222.66,1.0,21.0
1133.59,1.0,22.0
1042.33,1.0,23.0
960.43,2.0,0.0
906.36,2.0,1.0
878.72,2.0,2.0
865.6,2.0,3.0
867.95,2.0,4.0
898.95,2.0,5.0
975.98,2.0,6.0
1078.22,2.0,7.0
1177.91,2.0,8.0
1222.93,2.0,9.0
1222.83,2.0,10.0
1222.4,2.0,11.0
1227.35,2.0,12.0
1216.71,2.0,13.0
1195.59,2.0,14.0
1174.29,2.0,15.0
1163.63,2.0,16.0
1183.48,2.0,17.0
1238.7,2.0,18.0
1254.94,2.0,19.0
1268.6,2.0,20.0
1249.33,2.0,21.0
1170.69,2.0,22.0
1081.93,2.0,23.0
1006.39,3.0,0.0
956.89,3.0,1.0
928.28,3.0,2.0
912.73,3.0,3.0
916.06,3.0,4.0
947.43,3.0,5.0
1024.54,3.0,6.0
1131.4,3.0,7.0
1223.88,3.0,8.0
1260.22,3.0,9.0
1265.44,3.0,10.0
1277.32,3.0,11.0
1287.11,3.0,12.0
1279.35,3.0,13.0
1260.0,3.0,14.0
1231.24,3.0,15.0
1209.5,3.0,16.0
1225.12,3.0,17.0
1275.46,3.0,18.0
1286.62,3.0,19.0
1295.45,3.0,20.0
1275.37,3.0,21.0
1196.6,3.0,22.0
1106.83,3.0,23.0
1027.08,4.0,0.0
977.45,4.0,1.0
949.4,4.0,2.0
940.59,4.0,3.0
945.48,4.0,4.0
975.14,4.0,5.0
1049.28,4.0,6.0
1139.46,4.0,7.0
1215.62,4.0,8.0
1254.95,4.0,9.0
1258.04,4.0,10.0
1266.18,4.0,11.0
1274.02,4.0,12.0
1259.69,4.0,13.0
1224.38,4.0,14.0
1191.89,4.0,15.0
1166.13,4.0,16.0
1186.11,4.0,17.0
1231.62,4.0,18.0
1246.61,4.0,19.0
1249.52,4.0,20.0
1223.51,4.0,21.0
1149.0,4.0,22.0
1068.21,4.0,23.0
985.95,5.0,0.0
931.35,5.0,1.0
897.08,5.0,2.0
880.06,5.0,3.0
875.29,5.0,4.0
888.26,5.0,5.0
927.84,5.0,6.0
985.12,5.0,7.0
1055.47,5.0,8.0
1137.05,5.0,9.0
1200.76,5.0,10.0
1237.13,5.0,11.0
1252.91,5.0,12.0
1251.03,5.0,13.0
1229.69,5.0,14.0
1205.65,5.0,15.0
1199.32,5.0,16.0
1222.99,5.0,17.0
1261.94,5.0,18.0
1259.32,5.0,19.0
1242.25,5.0,20.0
1209.97,5.0,21.0
1139.76,5.0,22.0
1069.31,5.0,23.0
1003.14,6.0,0.0
952.36,6.0,1.0
922.56,6.0,2.0
910.61,6.0,3.0
906.85,6.0,4.0
917.82,6.0,5.0
945.52,6.0,6.0
980.49,6.0,7.0
1023.89,6.0,8.0
1070.63,6.0,9.0
1090.92,6.0,10.0
1090.3,6.0,11.0
1074.65,6.0,12.0
1051.94,6.0,13.0
1015.37,6.0,14.0
988.83,6.0,15.0
996.41,6.0,16.0
1053.42,6.0,17.0
1140.9,6.0,18.0
1162.37,6.0,19.0
1165.27,6.0,20.0
1149.42,6.0,21.0
1067.35,6.0,22.0
984.94,6.0,23.0
911.55,0.0,0.0
863.95,0.0,1.0
837.82,0.0,2.0
827.88,0.0,3.0
834.91,0.0,4.0
867.43,0.0,5.0
948.52,0.0,6.0
1051.99,0.0,7.0
1152.76,0.0,8.0
1210.77,0.0,9.0
1226.24,0.0,10.0
1238.73,0.0,11.0
1245.24,0.0,12.0
1238.6,0.0,13.0
1217.78,0.0,14.0
1174.46,0.0,15.0
1146.21,0.0,16.0
1159.75,0.0,17.0
1211.98,0.0,18.0
1229.43,0.0,19.0
1234.66,0.0,20.0
1224.93,0.0,21.0
1141.78,0.0,22.0
1056.29,0.0,23.0
979.29,1.0,0.0
933.78,1.0,1.0
909.97,1.0,2.0
904.1,1.0,3.0
913.1,1.0,4.0
946.7,1.0,5.0
1025.47,1.0,6.0
1121.35,1.0,7.0
1202.09,1.0,8.0
1234.47,1.0,9.0
1231.99,1.0,10.0
1234.86,1.0,11.0
1285.36,1.0,12.0
1331.59,1.0,13.0
1342.71,1.0,14.0
1324.09,1.0,15.0
1319.83,1.0,16.0
1345.24,1.0,17.0
1398.46,1.0,18.0
1364.62,1.0,19.0
1304.59,1.0,20.0
1276.31,1.0,21.0
1196.76,1.0,22.0
1108.62,1.0,23.0
1029.49,2.0,0.0
978.38,2.0,1.0
955.09,2.0,2.0
948.74,2.0,3.0
956.7,2.0,4.0
990.9,2.0,5.0
1064.66,2.0,6.0
1172.13,2.0,7.0
1264.43,2.0,8.0
1315.06,2.0,9.0
1334.33,2.0,10.0
1342.95,2.0,11.0
1345.99,2.0,12.0
1341.27,2.0,13.0
1328.28,2.0,14.0
1296.44,2.0,15.0
1272.47,2.0,16.0
1287.28,2.0,17.0
1339.86,2.0,18.0
1342.0,2.0,19.0
1338.67,2.0,20.0
1320.37,2.0,21.0
1238.94,2.0,22.0
1146.01,2.0,23.0
1062.66,3.0,0.0
1011.43,3.0,1.0
985.23,3.0,2.0
973.12,3.0,3.0
976.41,3.0,4.0
1008.97,3.0,5.0
1088.18,3.0,6.0
1189.36,3.0,7.0
1268.03,3.0,8.0
1299.71,3.0,9.0
1292.05,3.0,10.0
1279.36,3.0,11.0
1268.07,3.0,12.0
1248.52,3.0,13.0
1221.06,3.0,14.0
1181.72,3.0,15.0
1160.13,3.0,16.0
1175.14,3.0,17.0
1228.74,3.0,18.0
1246.46,3.0,19.0
1251.35,3.0,20.0
1245.91,3.0,21.0
1167.5,3.0,22.0
1075.66,3.0,23.0
994.07,4.0,0.0
940.73,4.0,1.0
910.57,4.0,2.0
899.48,4.0,3.0
904.35,4.0,4.0
939.32,4.0,5.0
1009.82,4.0,6.0
1103.1,4.0,7.0
1202.95,4.0,8.0
1259.93,4.0,9.0
1277.86,4.0,10.0
1297.88,4.0,11.0
1285.91,4.0,12.0
1268.9,4.0,13.0
1263.27,4.0,14.0
1235.53,4.0,15.0
1213.34,4.0,16.0
1218.7,4.0,17.0
1249.51,4.0,18.0
1261.47,4.0,19.0
1254.64,4.0,20.0
1244.55,4.0,21.0
1168.47,4.0,22.0
1084.47,4.0,23.0
1004.34,5.0,0.0
948.43,5.0,1.0
916.63,5.0,2.0
900.89,5.0,3.0
897.92,5.0,4.0
909.74,5.0,5.0
942.2,5.0,6.0
990.39,5.0,7.0
1050.23,5.0,8.0
1110.79,5.0,9.0
1147.4,5.0,10.0
1150.16,5.0,11.0
1119.76,5.0,12.0
1076.84,5.0,13.0
1037.61,5.0,14.0
1010.45,5.0,15.0
1008.09,5.0,16.0
1041.34,5.0,17.0
1110.9,5.0,18.0
1146.42,5.0,19.0
1158.21,5.0,20.0
1154.99,5.0,21.0
1085.25,5.0,22.0
1011.74,5.0,23.0
942.96,6.0,0.0
891.14,6.0,1.0
859.95,6.0,2.0
