RT_Demand,DayOfWeek,HourOfDay
1222.67,5.0,5.0
1244.72,5.0,6.0
1279.56,5.0,7.0
1363.44,5.0,8.0
1475.57,5.0,9.0
1587.14,5.0,10.0
1701.32,5.0,11.0
1801.65,5.0,12.0
1882.37,5.0,13.0
1923.93,5.0,14.0
1943.0,5.0,15.0
1964.46,5.0,16.0
2000.18,5.0,17.0
2032.18,5.0,18.0
2014.39,5.0,19.0
1940.46,5.0,20.0
1879.0,5.0,21.0
1806.72,5.0,22.0
1672.66,5.0,23.0
1546.26,6.0,0.0
1438.85,6.0,1.0
1357.2,6.0,2.0
1298.97,6.0,3.0
1260.87,6.0,4.0
1240.8,6.0,5.0
1236.09,6.0,6.0
1272.39,6.0,7.0
1369.97,6.0,8.0
1494.55,6.0,9.0
1604.05,6.0,10.0
1684.02,6.0,11.0
1750.06,6.0,12.0
1804.75,6.0,13.0
1836.19,6.0,14.0
1873.19,6.0,15.0
1921.85,6.0,16.0
1973.36,6.0,17.0
2024.82,6.0,18.0
2016.14,6.0,19.0
1939.96,6.0,20.0
1857.36,6.0,21.0
1755.21,6.0,22.0
1590.4,6.0,23.0
1448.17,0.0,0.0
1347.97,0.0,1.0
1276.45,0.0,2.0
1231.08,0.0,3.0
1208.26,0.0,4.0
1215.88,0.0,5.0
1270.75,0.0,6.0
1375.79,0.0,7.0
1489.49,0.0,8.0
1584.22,0.0,9.0
1667.77,0.0,10.0
1751.67,0.0,11.0
1839.8,0.0,12.0
1924.18,0.0,13.0
1941.25,0.0,14.0
1883.79,0.0,15.0
1858.01,0.0,16.0
1889.24,0.0,17.0
1909.92,0.0,18.0
1869.91,0.0,19.0
1781.36,0.0,20.0
1713.15,0.0,21.0
1624.0,0.0,22.0
1477.66,0.0,23.0
1345.37,1.0,0.0
1245.82,1.0,1.0
1181.5,1.0,2.0
1138.07,1.0,3.0
1113.91,1.0,4.0
1126.3,1.0,5.0
1179.69,1.0,6.0
1278.28,1.0,7.0
1397.77,1.0,8.0
1475.18,1.0,9.0
1498.19,1.0,10.0
1538.26,1.0,11.0
1579.54,1.0,12.0
1620.85,1.0,13.0
1675.21,1.0,14.0
1711.76,1.0,15.0
1691.15,1.0,16.0
1688.64,1.0,17.0
1683.54,1.0,18.0
1641.85,1.0,19.0
1573.83,1.0,20.0
1531.39,1.0,21.0
1459.91,1.0,22.0
1335.23,1.0,23.0
1224.11,2.0,0.0
1148.2,2.0,1.0
1096.82,2.0,2.0
1063.79,2.0,3.0
1052.28,2.0,4.0
1069.79,2.0,5.0
1134.25,2.0,6.0
1226.89,2.0,7.0
1332.08,2.0,8.0
1411.62,2.0,9.0
1455.33,2.0,10.0
1503.5,2.0,11.0
1547.75,2.0,12.0
1567.49,2.0,13.0
1585.46,2.0,14.0
1582.37,2.0,15.0
1583.46,2.0,16.0
1609.64,2.0,17.0
1635.85,2.0,18.0
1618.42,2.0,19.0
1555.79,2.0,20.0
1508.81,2.0,21.0
1440.21,2.0,22.0
1313.17,2.0,23.0
1194.73,3.0,0.0
1112.68,3.0,1.0
1060.81,3.0,2.0
1027.55,3.0,3.0
1011.45,3.0,4.0
1026.63,3.0,5.0
1083.03,3.0,6.0
1178.33,3.0,7.0
1301.18,3.0,8.0
1390.86,3.0,9.0
1443.79,3.0,10.0
1491.02,3.0,11.0
1529.96,3.0,12.0
1552.03,3.0,13.0
1562.28,3.0,14.0
1569.44,3.0,15.0
1567.8,3.0,16.0
1567.26,3.0,17.0
1565.53,3.0,18.0
1539.13,3.0,19.0
1476.26,3.0,20.0
1440.37,3.0,21.0
1366.15,3.0,22.0
1245.55,3.0,23.0
1138.61,4.0,0.0
1063.2,4.0,1.0
1012.2,4.0,2.0
985.9,4.0,3.0
978.12,4.0,4.0
995.75,4.0,5.0
1055.46,4.0,6.0
1140.65,4.0,7.0
1232.98,4.0,8.0
1310.28,4.0,9.0
1364.58,4.0,10.0
1406.68,4.0,11.0
1426.27,4.0,12.0
1431.95,4.0,13.0
1426.31,4.0,14.0
1410.33,4.0,15.0
1396.75,4.0,16.0
1407.0,4.0,17.0
1437.77,4.0,18.0
1442.42,4.0,19.0
1422.16,4.0,20.0
1406.1,4.0,21.0
1367.22,4.0,22.0
1265.98,4.0,23.0
1164.33,5.0,0.0
1077.35,5.0,1.0
1022.03,5.0,2.0
989.88,5.0,3.0
975.57,5.0,4.0
976.53,5.0,5.0
993.32,5.0,6.0
1046.18,5.0,7.0
1144.81,5.0,8.0
1278.55,5.0,9.0
1410.48,5.0,10.0
1529.61,5.0,11.0
1638.22,5.0,12.0
1707.62,5.0,13.0
1762.13,5.0,14.0
1810.48,5.0,15.0
1860.87,5.0,16.0
1908.45,5.0,17.0
1951.75,5.0,18.0
1940.64,5.0,19.0
1862.61,5.0,20.0
1784.54,5.0,21.0
1692.79,5.0,22.0
1549.89,5.0,23.0
1407.71,6.0,0.0
1292.64,6.0,1.0
1210.36,6.0,2.0
1153.43,6.0,3.0
1117.08,6.0,4.0
1098.22,6.0,5.0
1093.49,6.0,6.0
1125.41,6.0,7.0
1227.32,6.0,8.0
1375.16,6.0,9.0
1537.71,6.0,10.0
1688.23,6.0,11.0
1829.97,6.0,12.0
1931.03,6.0,13.0
2001.18,6.0,14.0
2056.55,6.0,15.0
2108.07,6.0,16.0
2161.57,6.0,17.0
2192.2,6.0,18.0
2149.57,6.0,19.0
2090.36,6.0,20.0
2038.5,6.0,21.0
1939.77,6.0,22.0
1780.17,6.0,23.0
1638.04,0.0,0.0
1539.81,0.0,1.0
1468.69,0.0,2.0
1411.24,0.0,3.0
1376.79,0.0,4.0
1381.69,0.0,5.0
1439.12,0.0,6.0
1558.68,0.0,7.0
1705.0,0.0,8.0
1850.76,0.0,9.0
1931.79,0.0,10.0
2031.08,0.0,11.0
2141.02,0.0,12.0
2212.21,0.0,13.0
2258.75,0.0,14.0
2287.57,0.0,15.0
2294.08,0.0,16.0
2292.06,0.0,17.0
2298.18,0.0,18.0
2259.67,0.0,19.0
2158.98,0.0,20.0
2046.17,0.0,21.0
1916.01,0.0,22.0
1730.26,0.0,23.0
1555.96,1.0,0.0
1427.47,1.0,1.0
1338.19,1.0,2.0
1278.43,1.0,3.0
1242.01,1.0,4.0
1240.3,1.0,5.0
1281.31,1.0,6.0
1392.48,1.0,7.0
1539.72,1.0,8.0
1672.56,1.0,9.0
1763.79,1.0,10.0
1851.41,1.0,11.0
1916.58,1.0,12.0
1970.45,1.0,13.0
2022.1,1.0,14.0
2053.34,1.0,15.0
2086.31,1.0,16.0
2113.63,1.0,17.0
2129.5,1.0,18.0
2097.98,1.0,19.0
1999.72,1.0,20.0
1902.23,1.0,21.0
1780.2,1.0,22.0
1596.02,1.0,23.0
1441.46,2.0,0.0
1327.98,2.0,1.0
1255.66,2.0,2.0
1210.68,2.0,3.0
1190.11,2.0,4.0
1201.15,2.0,5.0
1258.37,2.0,6.0
1355.44,2.0,7.0
1466.04,2.0,8.0
1551.1,2.0,9.0
1585.1,2.0,10.0
1616.14,2.0,11.0
1642.84,2.0,12.0
1659.4,2.0,13.0
1671.74,2.0,14.0
1682.3,2.0,15.0
1703.03,2.0,16.0
1735.77,2.0,17.0
1769.43,2.0,18.0
1741.66,2.0,19.0
1680.37,2.0,20.0
1633.91,2.0,21.0
1538.85,2.0,22.0
1403.86,2.0,23.0
1288.58,3.0,0.0
1207.77,3.0,1.0
1154.43,3.0,2.0
1120.02,3.0,3.0
1109.69,3.0,4.0
1128.39,3.0,5.0
1197.51,3.0,6.0
1307.94,3.0,7.0
1431.91,3.0,8.0
1524.54,3.0,9.0
1610.82,3.0,10.0
1725.75,3.0,11.0
1840.84,3.0,12.0
1936.7,3.0,13.0
1956.85,3.0,14.0
1898.36,3.0,15.0
1852.01,3.0,16.0
1840.26,3.0,17.0
1847.19,3.0,18.0
1816.56,3.0,19.0
1759.72,3.0,20.0
1715.65,3.0,21.0
1627.71,3.0,22.0
1492.31,3.0,23.0
1366.77,4.0,0.0
1269.26,4.0,1.0
