date,短期预测湿度,短期预测风速,短期预测风向,短期预测温度,短期预测气压,实际风速,HourOfDay,短期预测风向sin,短期预测风向cos,实际功率
2018/1/1 0:00,65,13.7,44,13.8,1008,9.055454545,0,0.69465837,0.7193398,34.45345
2018/1/1 1:00,63,13.7,43,13.7,1007,11.01393939,1,0.68199836,0.731353702,39.40294
2018/1/1 2:00,63,13.9,41,13.5,1007,8.681212121,2,0.656059029,0.75470958,32.30527
2018/1/1 3:00,64,14,40,13.3,1007,9.505757576,3,0.64278761,0.766044443,32.87878
2018/1/1 4:00,65,14.2,39,13.2,1007,10.50212121,4,0.629320391,0.777145961,36.51809
2018/1/1 5:00,66,14.1,38,13,1007,9.678181818,5,0.615661475,0.788010754,35.37783
2018/1/1 6:00,66,13.9,36,12.8,1008,8.563636364,6,0.587785252,0.809016994,30.10081
2018/1/1 7:00,66,13.6,35,12.8,1008,8.987575758,7,0.573576436,0.819152044,34.00768
2018/1/1 8:00,66,13.3,35,13,1009,9.420606061,8,0.573576436,0.819152044,35.71947
2018/1/1 9:00,65,13.1,38,13.4,1009,9.446969697,9,0.615661475,0.788010754,35.91621
2018/1/1 10:00,65,13,41,14,1009,9.761212121,10,0.656059029,0.75470958,38.25735
2018/1/1 11:00,65,13.1,46,14.5,1009,10.79575758,11,0.7193398,0.69465837,39.38667
2018/1/1 12:00,66,13.1,51,14.9,1008,11.23060606,12,0.777145961,0.629320391,38.53332
2018/1/1 13:00,68,13.2,55,15.1,1007,10.68090909,13,0.819152044,0.573576436,37.88565
2018/1/1 14:00,70,13.4,58,15.3,1006,10.71333333,14,0.848048096,0.529919264,38.77075
2018/1/1 15:00,72,13.9,59,15.4,1006,10.80454545,15,0.857167301,0.515038075,39.86678
2018/1/1 16:00,74,14.2,58,15.5,1006,9.918484848,16,0.848048096,0.529919264,37.80213
2018/1/1 17:00,75,14.7,57,15.5,1006,9.794545455,17,0.838670568,0.544639035,35.62381
2018/1/1 18:00,75,14.9,55,15.4,1006,9.79030303,18,0.819152044,0.573576436,35.85674
2018/1/1 19:00,75,14.8,53,15.3,1007,9.88,19,0.79863551,0.601815023,38.20524
2018/1/1 20:00,75,14.4,51,15.1,1007,10.56363636,20,0.777145961,0.629320391,38.32765
2018/1/1 21:00,75,13.8,49,14.9,1007,10.37606061,21,0.75470958,0.656059029,35.19863
2018/1/1 22:00,75,13,46,14.8,1008,9.072121212,22,0.7193398,0.69465837,28.86909
2018/1/1 23:00,74,12.3,44,14.6,1008,9.045454545,23,0.69465837,0.7193398,28.99291
2018/1/2 0:00,75,12.7,41,14.7,1008,8.501212121,0,0.656059029,0.75470958,28.59168
2018/1/2 1:00,75,12.3,38,14.5,1008,7.687575758,1,0.615661475,0.788010754,26.97686
2018/1/2 2:00,74,12,36,14.5,1007,7.058181818,2,0.587785252,0.809016994,23.98398
2018/1/2 3:00,74,11.8,34,14.5,1006,6.821212121,3,0.559192903,0.829037573,18.7806
2018/1/2 4:00,74,11.6,33,14.6,1006,6.85969697,4,0.544639035,0.838670568,18.37613
2018/1/2 5:00,74,11.4,32,14.6,1006,7.490909091,5,0.529919264,0.848048096,22.64424
2018/1/2 6:00,74,11.2,32,14.6,1007,7.236969697,6,0.529919264,0.848048096,22.11191
